Country,Cases,Deaths,Region
China,9798,213,Asia
Thailand,19,0,Asia
Japan,17,0,Asia
Singapore,16,0,Asia
Hong Kong,13,0,Asia
South Korea,11,0,Asia
Taiwan,10,0,Asia
Australia,9,0,Australia/Oceania
Malaysia,8,0,Asia
United States,7,0,North America
Macao,7,0,Asia
Germany,6,0,Europe
France,6,0,Europe
Vietnam,5,0,Asia
United Arab Emirates,4,0,Asia
Canada,4,0,North America
Russia,2,0,Europe
Italy,2,0,Europe
United Kingdom,2,0,Europe
Philippines,1,0,Asia
Nepal,1,0,Asia
India,1,0,Asia
Finland,1,0,Europe
Sweden,1,0,Europe
Sri Lanka,1,0,Asia
Cambodia,1,0,Asia
