Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,79257,433,2835,47,37142,39280,7664
S. Korea,3150,813,17,1,3109,24,10
Italy,889,,21,,822,46,64
Diamond Princess,705,,6,,689,10,36
Iran,593,205,43,9,427,123,
Japan,241,8,5,,204,32,20
Singapore,102,4,,,30,72,7
Hong Kong,93,,2,,61,30,6
Germany,79,19,,,63,16,2
USA,66,3,,,59,7,1
France,57,,2,,44,11,1
Spain,50,17,,,48,2,2
Kuwait,45,,,,45,,
Thailand,42,1,,,14,28,2
Taiwan,39,5,1,,33,5,1
Bahrain,38,,,,38,,
Australia,25,,,,10,15,
Malaysia,25,,,,5,20,
U.K.,20,,,,12,8,
U.A.E.,19,,,,14,5,2
Canada,16,1,,,13,3,
Vietnam,16,,,,0,16,
Switzerland,15,,,,15,,
Sweden,12,1,,,12,,
Macao,10,,,,4,6,
Austria,9,2,,,9,,
Iraq,8,,,,8,,
Israel,7,,,,6,1,
Norway,7,1,,,7,,
Oman,6,,,,5,1,
Croatia,5,,,,5,,
Greece,4,,,,4,,
Lebanon,4,,,,4,,
Netherlands,4,2,,,4,,
Philippines,3,,1,,0,2,
Denmark,3,1,,,3,,
Finland,3,,,,2,1,
Georgia,3,1,,,3,,
India,3,,,,0,3,
Mexico,3,1,,,3,,
Romania,3,,,,2,1,
Pakistan,2,,,,2,,
Russia,2,,,,0,2,
Afghanistan,1,,,,1,,
Algeria,1,,,,1,,
Azerbaijan,1,,,,1,,
Belarus,1,,,,1,,
Belgium,1,,,,0,1,
Brazil,1,,,,1,,
Cambodia,1,,,,0,1,
Egypt,1,,,,0,1,
Estonia,1,,,,1,,
Iceland,1,,,,1,,
Lithuania,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
New Zealand,1,,,,1,,
Nigeria,1,,,,1,,
Qatar,1,1,,,1,,
San Marino,1,,,,1,,
Sri Lanka,1,,,,0,1,
