Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,78832,335,2788,44,36205,7952,Asia
S. Korea,2022,256,13,,24,10,Asia
Diamond Princess,705,,4,,10,36,
Italy,655,,17,,45,56,Europe
Iran,245,,26,,54,,Asia
Japan,214,,4,,32,13,Asia
Singapore,96,,,,66,8,Asia
Hong Kong,93,1,2,,18,6,Asia
USA,60,,,,6,,N.America
Germany,49,,,,16,2,Europe
Kuwait,43,,,,,,Asia
Thailand,40,,,,22,2,Asia
France,38,,2,,11,1,Europe
Taiwan,34,2,1,,5,1,Asia
Bahrain,33,,,,,,Asia
Spain,25,,,,2,2,Europe
Australia,24,1,,,15,,Oceania
Malaysia,22,,,,20,,Asia
U.A.E.,19,,,,5,2,Asia
U.K.,16,,,,8,,Europe
Vietnam,16,,,,16,,Asia
Canada,14,,,,3,,N.America
Macao,10,,,,6,,Asia
Switzerland,8,,,,,,Europe
Iraq,7,,,,,,Asia
Sweden,7,,,,,,Europe
Oman,6,,,,,,Asia
Austria,5,,,,,,Europe
Norway,4,,,,,,Europe
Philippines,3,,1,,2,,Asia
Croatia,3,,,,,,Europe
Greece,3,,,,,,Europe
India,3,,,,3,,Asia
Israel,3,,,,,,Asia
Lebanon,3,,,,,,Asia
Finland,2,,,,1,,Europe
Pakistan,2,,,,,,Asia
Russia,2,,,,2,,Europe
Afghanistan,1,,,,,,Asia
Algeria,1,,,,,,Africa
Belarus,1,1,,,,,Europe
Belgium,1,,,,1,,Europe
Brazil,1,,,,,,South America
Cambodia,1,,,,1,,Asia
Denmark,1,,,,,,Europe
Egypt,1,,,,1,,Africa
Estonia,1,,,,,,Europe
Georgia,1,,,,,,Asia
Lithuania,1,1,,,,,Europe
North Macedonia,1,,,,,,Europe
Nepal,1,,,,1,,Asia
Netherlands,1,,,,,,Europe
New Zealand,1,1,,,,,Oceania
Nigeria,1,1,,,,,Africa
Romania,1,,,,,,Europe
San Marino,1,,,,,,Europe
Sri Lanka,1,,,,1,,Asia
