Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80152,126,2945,33,29833,47374,6806
S. Korea,5186,851,28,,5124,34,27
Italy,2036,,52,,1835,149,166
Iran,1501,,66,,1144,291,
Diamond Princess,706,,7,,599,100,36
Japan,283,9,6,,234,43,23
France,191,,3,,176,12,8
Germany,165,,,,149,16,2
Spain,124,4,,,122,2,3
Singapore,108,,,,30,78,6
USA,103,3,6,,88,9,7
Hong Kong,100,,2,,62,36,6
Kuwait,56,,,,56,,
Bahrain,49,,,,49,,
Switzerland,45,15,,,44,1,
Thailand,43,,1,,12,30,1
Taiwan,41,,1,,28,12,1
U.K.,41,1,,,33,8,
Australia,39,6,1,,23,15,1
Malaysia,29,,,,7,22,
Canada,27,,,,20,7,
Iraq,26,,,,26,,
Norway,25,,,,25,,
U.A.E.,21,,,,16,5,2
Austria,18,,,,18,,
Netherlands,18,,,,18,,1
Vietnam,16,,,,0,16,
Sweden,15,,,,15,,
Lebanon,13,,,,13,,
Israel,12,,,,11,1,
Macao,10,,,,4,6,
Iceland,9,,,,9,,
San Marino,8,,1,,7,,1
Belgium,8,,,,7,1,
Croatia,8,,,,8,,
Ecuador,7,1,,,7,,1
Finland,7,,,,6,1,
Greece,7,,,,7,,
Qatar,7,,,,7,,
Denmark,6,2,,,6,,
India,6,,,,3,3,
Mexico,6,,,,5,1,
Oman,6,,,,4,2,
Algeria,5,,,,5,,
Czechia,5,1,,,5,,
Pakistan,5,1,,,5,,
Portugal,4,2,,,4,,
Philippines,3,,1,,0,2,
Azerbaijan,3,,,,3,,
Georgia,3,,,,3,,
Romania,3,,,,2,1,
Russia,3,,,,1,2,
Brazil,2,,,,2,,
Egypt,2,,,,1,1,
Indonesia,2,,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Belarus,1,,,,1,,
Cambodia,1,,,,0,1,
Dominican Republic,1,,,,1,,
Estonia,1,,,,1,,
Ireland,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Morocco,1,,,,1,,
Nepal,1,,,,0,1,
New Zealand,1,,,,1,,
Nigeria,1,,,,1,,
Saudi Arabia,1,,,,1,,
Senegal,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,1,,,1,,
