Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80026,202,2912,42,32626,44488,7110
S. Korea,3736,586,21,4,3685,30,10
Italy,1701,573,41,12,1577,83,140
Iran,978,385,54,11,749,175,
Diamond Princess,705,,7,1,688,10,36
Japan,256,15,6,1,208,42,19
France,130,30,2,,116,12,9
Germany,130,51,,,114,16,2
Singapore,106,4,,,32,74,7
Hong Kong,100,5,2,,62,36,6
Spain,84,26,,,82,2,3
USA,76,8,1,,66,9,4
Bahrain,47,6,,,47,,
Kuwait,46,1,,,46,,
Thailand,42,,1,1,11,30,1
Taiwan,40,1,1,,27,12,1
U.K.,36,13,,,28,8,
Australia,29,4,1,1,13,15,
Malaysia,29,4,,,7,22,
Canada,24,4,,,20,4,
Switzerland,24,5,,,23,1,
U.A.E.,21,,,,16,5,2
Iraq,19,6,,,19,,
Norway,19,4,,,19,,
Vietnam,16,,,,0,16,
Austria,14,4,,,14,,
Sweden,14,1,,,14,,
Macao,10,,,,4,6,
Israel,10,3,,,9,1,
Lebanon,10,3,,,10,,
Netherlands,10,3,,,10,,1
San Marino,8,7,1,1,7,,1
Croatia,7,1,,,7,,
Greece,7,,,,7,,
Ecuador,6,5,,,6,,1
Finland,6,3,,,5,1,
Oman,6,,,,5,1,
Mexico,5,1,,,5,,
Denmark,4,1,,,4,,
Pakistan,4,,,,4,,
Philippines,3,,1,,0,2,
Algeria,3,2,,,3,,
Azerbaijan,3,,,,3,,
Czechia,3,3,,,3,,
Georgia,3,,,,3,,
Iceland,3,2,,,3,,
India,3,,,,0,3,
Qatar,3,2,,,3,,
Romania,3,,,,2,1,
Belgium,2,1,,,1,1,
Brazil,2,,,,2,,
Egypt,2,1,,,1,1,
Russia,2,,,,0,2,
Afghanistan,1,,,,1,,
Armenia,1,1,,,1,,
Belarus,1,,,,1,,
Cambodia,1,,,,0,1,
Dominican Republic,1,1,,,1,,
Estonia,1,,,,1,,
Ireland,1,,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
New Zealand,1,,,,1,,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
